No.,Ticker,Crypto,Amount,Price at time of investment,Investement Amount,fees,total investement,P/L of transacton,Current Value
1,ALGO,Algorand,45.083544,0.6213,28.01,1.99,30,20.22898619,1.07
2,ETH,Ethereum,0.02243075,1248.73,28.01,1.99,30,6.744029295,1549.39
3,FIL,Filecoin,0.74560517,37.57,28.01,1.99,30,31.63602736,80
4,ALGO,Algorand,21.471993,1.3,28.01,1.99,30,-4.93855839,1.07
5,NU,NuCypher,6.38433708,0.34,0,0,0,0.574590337,0.43
6,CGLD,Celo,1.63721339,2.62,0,0,0,1.309770712,3.42
7,GRT,The Graph,3.46420323,0.63,0,0,0,2.167551961,1.2557
8,COMP,Compound,0.02234916,293.51,0,0,0,-0.082915384,289.8
9,XLM,Stellar Lumens,26.796002,0.27,0,0,0,0.53592004,0.29
10,NMR,Numeraire,0.06912681,31.17,0,0,0,0.447941729,37.65
11,ANKR,Ankr,108.131437,0.1249,13.51,1.49,15,-1.611158411,0.11
12,BTC,Bitcoin,0.001037,46295.67,48.01,1.99,50,0,46295.67
